,저수량(현재),전일방류량(본댐),당일유입량,홍수기,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,기온(°C),강수량(mm),지면온도(°C),습도(%),1일후강수량,2일후강수량
2001-03-10,317.0,11.300000000000002,11.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,4.566666666666666,0.2854785478547855,0.4738095238095225,47.125,0.3171617161716172,0.3488448844884488
2001-03-11,317.05,9.4,12.699999999999998,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,1.9375,0.3171617161716172,0.3595238095238073,52.458333333333336,0.3488448844884488,0.3805280528052805
2001-03-12,317.3958333333333,11.1,9.3,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,2.683333333333333,0.3488448844884488,0.2452380952380934,51.833333333333336,0.3805280528052805,0.4122112211221122
2001-03-13,317.0458333333333,11.300000000000002,8.3,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,3.9875,0.3805280528052805,0.1309523809523796,54.91666666666666,0.4122112211221122,0.4438943894389439
2001-03-14,316.90000000000003,11.1,7.7,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,7.545833333333333,0.4122112211221122,0.0166666666666657,68.29166666666667,0.4438943894389439,0.4755775577557755
2001-03-15,317.02500000000003,10.4,12.1,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,9.85,0.4438943894389439,-0.0976190476190499,46.208333333333336,0.4755775577557755,0.4988448844884488
2001-03-16,317.02916666666664,11.300000000000002,11.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,5.15,0.4755775577557755,-0.2119047619047638,53.5,0.4988448844884488,0.5
2001-03-17,317.175,8.8,10.800000000000002,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,7.879166666666666,0.4988448844884488,-0.3261904761904777,71.58333333333333,0.5,0.5
2001-03-18,316.875,11.199999999999998,9.7,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,9.441666666666666,0.5,-0.4404761904761916,47.75,0.5,0.5
2001-03-19,317.01666666666665,11.4,7.8,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.241666666666667,0.5,-0.5547619047619067,46.458333333333336,0.5,0.5
2001-03-20,317.0208333333333,10.2,12.699999999999998,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.8875,0.5,-0.6690476190476211,53.54166666666666,0.5,0.5
2001-03-21,316.7416666666667,9.4,11.300000000000002,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,10.675,0.5,-0.783333333333335,48.208333333333336,0.5,0.5
2001-03-22,316.9291666666667,11.699999999999998,9.5,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,11.5375,0.5,-0.8976190476190489,46.875,0.5,0.5
2001-03-23,316.9291666666667,10.6,12.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,10.754166666666668,0.5,-1.0119047619047636,37.333333333333336,0.5,0.5
2001-03-24,316.83750000000003,10.0,9.7,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,10.695833333333333,0.5,-1.1261904761904784,41.91666666666666,0.5,0.5
2001-03-25,316.6041666666667,10.4,5.599999999999999,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.875,0.5,-1.2404761904761925,43.458333333333336,0.5,0.5
2001-03-26,316.375,11.199999999999998,9.6,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,7.0375000000000005,0.5,-1.3547619047619062,35.875,0.5,0.7144607843137255
2001-03-27,316.06666666666666,11.0,6.7,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,5.258333333333334,0.5,-1.4690476190476205,44.208333333333336,0.7144607843137255,1.7990196078431373
2001-03-28,316.00416666666666,9.5,13.300000000000002,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,6.316666666666666,0.7144607843137255,-1.5833333333333357,62.5,1.7990196078431373,1.7964063674250188
2001-03-29,316.0208333333333,4.6,4.7,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,4.958333333333333,1.7990196078431373,-1.6976190476190496,39.208333333333336,1.7964063674250188,0.4642857142857142
2001-03-30,315.69166666666666,11.0,7.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,0.0208333333333333,1.7964063674250188,-1.811904761904764,79.95833333333333,0.4642857142857142,0.4224738675958188
2001-03-31,315.31666666666666,11.4,5.900000000000001,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,4.375,0.4642857142857142,-1.926190476190477,59.79166666666666,0.4224738675958188,0.3806620209059233
2001-04-01,314.9625,10.5,5.7,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,6.266666666666667,0.4224738675958188,12.805357142857142,48.75,0.3806620209059233,0.3388501742160278
2001-04-02,314.4583333333333,10.4,14.199999999999998,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,9.608333333333333,0.3806620209059233,15.75,51.25,0.3388501742160278,0.2970383275261324
2001-04-03,313.9541666666667,11.0,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,10.2875,0.3388501742160278,19.0125,54.083333333333336,0.2970383275261324,0.2552264808362369
2001-04-04,312.9916666666667,9.6,4.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,8.929166666666667,0.2970383275261324,17.583333333333332,54.91666666666666,0.2552264808362369,0.2134146341463414
2001-04-05,311.52500000000003,22.2,3.6,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,10.416666666666666,0.2552264808362369,18.008333333333333,52.375,0.2134146341463414,0.171602787456446
